sample_index,t_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
91,1.303138941002544,0.0,0.0,0.0,0.0,0.0,0.0
92,1.3111751130054472,0.0,0.0,0.0,0.0,0.0,0.0
93,1.3191327690001344,0.0,0.0,0.0,0.0,0.0,0.0
94,1.3271492750063771,0.0,0.0,0.0,0.0,0.0,0.0
95,1.3351417759986361,0.0,0.0,0.0,0.0,0.0,0.0
96,1.3431287059938768,0.0,0.0,0.0,0.0,0.0,0.0
97,1.3511239429935813,0.0,0.0,0.0,0.0,0.0,0.0
98,1.3591977350006346,0.0,0.0,0.0,0.0,0.0,0.0
99,1.36712828099553,0.0,0.0,0.0,0.0,0.0,0.0
100,1.3751497449993622,0.0,0.0,0.0,0.0,0.0,0.0
101,1.3830962009960786,0.0,0.0,0.0,0.0,0.0,0.0
102,1.391201350998017,0.0,0.0,0.0,0.0,0.0,0.0
103,1.3990959509974346,0.0,0.0,0.0,0.0,0.0,0.0
104,1.407096447001095,0.0,0.0,0.0,0.0,0.0,0.0
105,1.4150949390023015,0.0,0.0,0.0,0.0,0.0,0.0
106,1.4230924290022813,0.0,0.0,0.0,0.0,0.0,0.0
107,1.4310904500016477,0.0,0.0,0.0,0.0,0.0,0.0
108,1.4391093099984573,0.0,0.0,0.0,0.0,0.0,0.0
109,1.4471306350023951,0.0,0.0,0.0,0.0,0.0,0.0
110,1.4551211920042988,0.0,0.0,0.0,0.0,0.0,0.0
111,1.4631312059937045,0.0,0.0,0.0,0.0,0.0,0.0
112,1.471144055001787,0.0,0.0,0.0,0.0,0.0,0.0
113,1.479127658996731,0.0,0.0,0.0,0.0,0.0,0.0
114,1.4871868949994678,0.0,0.0,0.0,0.0,0.0,0.0
115,1.4951400330028264,0.0,0.0,0.0,0.0,0.0,0.0
116,1.5031370819924632,0.0,0.0,0.0,0.0,0.0,0.0
117,1.5111896250018617,0.0,0.0,0.0,0.0,0.0,0.0
118,1.5191326339991065,0.0,0.0,0.0,0.0,0.0,0.0
119,1.5271381890051998,0.0,0.0,0.0,0.0,0.0,0.0
