sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,onrobot_fx_n,onrobot_fy_n,onrobot_fz_n,onrobot_tx_nm,onrobot_ty_nm,onrobot_tz_nm
224,1.799952850000409,-0.52641235362836,-0.29111776340761303,-0.974743288143341,0.024467895768039087,-0.012397506540190421,-0.0024595337188792516,0.10158199999999977,0.038672000005970666,-0.3733409999993816,-0.004632999999999998,-0.003348000000036511,0.00228299999994646
225,1.8078601540037198,-0.42552871712097995,-0.7296336149307215,-1.3572696830943396,0.027025165793608148,-0.002322440948420062,-0.00012750990005778556,0.1415819999999998,0.008672000005810731,-0.3633399999998614,-0.003632999999999999,-0.002348000000020518,0.001282999999962452
226,1.81588913500309,-0.47920147425626364,-0.7676400024554397,-0.8764772016039202,0.04724031803053809,-0.01874023682557145,0.004920065874176532,0.12158199999999983,-0.0013279999956285979,-0.27334000000002134,-0.004632999999999998,-0.003348000000036511,0.00228299999994646
227,1.823581276999903,0.015197754040884316,-0.19663750778634295,-1.3687154873689622,0.023231107249365876,0.0010663894062874328,0.012388925097481936,0.13158199999999987,0.018672000003411866,-0.21334099999970146,-0.006632999999999998,-0.0063480000000525035,0.0032829999998984834
228,1.8315354389997083,-0.5706444074881332,-0.4139205220620137,-0.9895950369987431,0.03462811587186935,-0.0385427309217724,0.001816220758864902,0.1015819999999998,0.04867200000533095,-0.3333399999992217,-0.005632999999999998,-0.002348000000036511,0.002282999999962453
229,1.839550283002609,-0.43920364707607074,-0.3359464771293001,-0.8040665869273368,0.037365388059430925,-0.019677127235126844,0.0011642168811731484,0.11158199999999978,0.03867200000549088,-0.3433399999993816,-0.004632999999999998,-0.004348000000036511,0.0022829999999304674
230,1.8475502910005162,-0.47430865352178025,-0.7913435582618125,-0.7660847801451133,0.04325727913754883,-0.006892717288652701,0.005055089156074067,0.1315819999999998,0.03867200000501109,-0.3133389999993816,-0.0036329999999999978,-0.0053480000000525035,0.003282999999914474
231,1.855542694000178,-0.639361876429268,-0.6927160075045551,-1.131253022826709,0.040158772373190814,-0.025832566508545863,0.006089011100432407,0.13158199999999978,0.018672000005650804,-0.35333999999970145,-0.004632999999999999,-0.003348000000020518,0.00128299999994646
232,1.8638945780039649,-0.17431705899465672,-0.4537962590340198,-0.7768798579775502,0.03169679510719969,-0.016680877564074523,0.003475104948832992,0.05158199999999991,-0.0013279999977076449,-0.14333900000002125,-0.001632999999999999,-0.0003480000000205184,0.0012829999999944357
233,1.8718489000020782,-0.23157972452573258,-0.2713141940056806,-1.7444132818364675,0.0006961385507238827,0.02238287738936651,-0.007511680916898454,0.041582000000000015,0.018671999999573623,0.026661000000298588,-0.002632999999999999,-0.0003480000000205184,0.0012829999999944364
234,1.8797472170044784,-0.17827126131928098,-0.5173118739492291,-1.0113500084415967,0.044868172717765255,-0.01294002800072484,0.0032789432313087142,0.11158199999999997,0.05867200000085303,-0.053338999999061755,-0.007632999999999998,-0.0053480000000525035,0.0032829999999144767
235,1.887859054004366,0.22371412833571838,-0.3256447773574598,-0.8452621925054636,0.029278864888267774,-0.0034265919770314905,0.005805021295390224,0.06158199999999991,0.018672000002292355,-0.14333899999970143,-0.0026329999999999986,-0.000348000000036511,0.002282999999994436
236,1.895712466997793,-0.2046272378544253,-0.20508480343035107,-1.493688804942823,0.0001109996532507874,0.02139849340450814,-0.008202563885227127,0.07158199999999988,0.02867200000325194,-0.2033409999995415,-0.004632999999999998,-0.004348000000036511,0.0022829999999304674
237,1.9036699950011098,-0.26858262011505096,-0.508082853063138,-1.1987218711055707,0.03829210243299476,-0.003261952249568095,-0.002471924175887684,0.04158199999999981,0.03867200000501109,-0.31333899999938153,0.0013669999999999989,0.0036520000000274592,-0.0017169999999415962
238,1.9116987560046255,0.11909756872730898,-0.7571511238315264,-1.1448528011037826,0.041114569400657996,0.003955463699756417,-0.0024587353676845535,0.07158199999999985,0.018672000004051552,-0.2533399999997014,-0.0006330000000000004,0.0006520000000114666,-0.0007169999999895724
239,1.919680208004138,-0.20868687987905915,-0.16524804704767534,-1.4095518249133694,0.022467677696061325,-0.021050286645145144,0.0009877473539092844,0.05158199999999975,0.03867200000629049,-0.39333899999938154,0.0013669999999999989,0.0016520000000274592,-0.0017169999999735812
240,1.9278854779986432,-0.015265819374782632,-0.5657467902059059,-1.2689186390547542,0.03267300987191796,-0.012869759198110535,0.01059116986040519,0.051581999999999815,0.07867200000469127,-0.29334099999874186,-0.004632999999999999,-0.0013480000000205185,0.001282999999978445
241,1.935855570001877,0.03766677760391985,-0.2911421132623683,-0.8350761589039877,0.028502622955268172,-0.007890358527672722,-0.0061573599477396605,0.07158199999999987,0.05867200000357176,-0.22333899999906173,-0.004632999999999999,-0.002348000000020518,0.0012829999999624524
242,1.943616340002336,0.34216366759590916,-0.08686195993469023,-0.9326481391354188,0.011988750673576992,0.0015128887644156271,-0.002139769201394307,0.12158199999999976,0.05867200000597067,-0.37334099999906173,-0.007632999999999999,-0.003348000000020518,0.001282999999946462
243,1.951866784998856,-0.5246651847096226,-0.47817095214826133,-1.1510437160749576,0.02745552090600873,-0.016363734095683837,0.0021160972464885517,0.08158199999999984,0.0486720000043714,-0.2733399999992217,-0.002633,0.0006519999999954741,0.00028300000001042877
244,1.9599199919975945,-0.5329100622725264,-0.3923074412188853,-0.9230191148935607,0.0373812243191343,-0.021516693821597814,0.007460811729478918,0.021581999999999917,0.038672000002132424,-0.13333899999938156,-0.0006329999999999998,0.003651999999995474,0.00028300000005840515
245,1.967684258997906,-0.16594279370558285,-0.056073178055700286,-1.542611178793654,0.0008793257663753617,0.005576637946107451,0.0028456384445168397,0.021581999999999994,0.01867200000021334,-0.0133399999997014,-0.0006330000000000004,0.0006520000000114666,-0.0007169999999895724
246,1.975884118997783,-0.3126638068863773,-0.6687379869556858,-0.7163226082790244,0.03676675175112392,-0.018110655455790572,-0.0008703805497292898,0.09158199999999986,0.01867200000357176,-0.22333899999970144,-0.001632999999999999,-0.0013480000000205185,0.001282999999978443
247,1.9836870580038521,-0.31152445295111847,-0.4788227339724555,-1.021753193362368,0.030256022470855532,-0.011825373838186604,0.00312324797745851,0.14158199999999985,0.04867200000389162,-0.2433399999992217,-0.006632999999999998,-0.0053480000000525035,0.003282999999914476
248,1.9918812579999212,-0.15038472225341631,-0.10007870336887902,-1.1135228444890723,0.020574460390956346,0.0033288636453680854,-0.007559831262521914,0.16158199999999967,0.10867200000852946,-0.5333399999982622,-0.005632999999999999,-0.0013480000000205185,0.0012829999999784457
