checkpoint,elapsed_end_s,elapsed_end_h,samples_cumulative,rate_hz_cumulative,samples_window,duration_window_s,rate_hz_window,Fx_N_mean,Fx_N_std,Fy_N_mean,Fy_N_std,Fz_N_mean,Fz_N_std,Mx_Nm_mean,Mx_Nm_std,My_Nm_mean,My_Nm_std,Mz_Nm_mean,Mz_Nm_std
11,9899.961275151989,2.7499892430977746,9899869,999.9906792411177,899994,899.956431219005,1000.0417451108651,2.427686287202848,0.012631029915166271,-1.08729826594704,0.012387865822702153,-0.8772489993474667,0.010448380873997947,0.0517493470798571,0.00033345106927311704,-0.06445658026922635,0.0003277344731472556,0.0611315719926515,0.00031662968629469205
12,10799.963864627993,2.999989962396665,10799862,999.9905680584426,899993,899.9541345540201,1000.043186029696,2.427674368570388,0.012806974571576497,-1.083401289313606,0.011951540695428413,-0.8789426510014748,0.010373221728425195,0.051837239930971585,0.0003262692605853817,-0.0644983112141923,0.0003288445303276368,0.0612398567441926,0.00031396278616939205
13,11699.965439286956,3.2499903998019324,11699855,999.9905607168218,899993,899.9529354599654,1000.0445184836407,2.426476680943719,0.012707810658795622,-1.0810333767389184,0.012284641596422301,-0.8801941174408536,0.010383620209355423,0.05190088177441636,0.00033155035031819113,-0.0645181206362214,0.00032962580172561293,0.06130365733317048,0.0003139465253118631
14,12599.967535142961,3.499990981984156,12599849,999.990592424732,899994,899.9534518519649,1000.0450558281116,2.4221443799974556,0.012944024425015637,-1.0805283479794645,0.012184920995042281,-0.8833725153485511,0.010440640990558227,0.05191775483956793,0.00032905082433403425,-0.06446163035649861,0.0003310310520862094,0.061363415909316835,0.00031342173712330237
15,13499.969524257991,3.749991534516109,13499842,999.9905537373428,899993,899.9534953560214,1000.043896317068,2.4239598810370078,0.012761668319573545,-1.0791164406301716,0.012021137288013772,-0.8856958146558074,0.010391409537911464,0.05194664090949063,0.0003268085186045672,-0.06449977805307831,0.00032902271040817044,0.06140071089956856,0.0003138314594995719
16,14399.97213809099,3.999992260580831,14399836,999.9905459476112,899994,899.9539970459882,1000.0444499987145,2.4228329625708613,0.013005176494340088,-1.0772936516223555,0.011906356605835968,-0.8883382268782548,0.01041903818343876,0.05197820269494984,0.0003252056255842841,-0.06448251641268088,0.0003326898683506522,0.06144043956364066,0.0003134371306164004
17,15299.974389382987,4.249992885939719,15299829,999.9904974100422,899993,899.9539176120306,1000.0434270991042,2.4236474843065,0.012570915266806587,-1.0758332407336502,0.011748717035213506,-0.8899014784206966,0.010395810121326721,0.051997872458267244,0.00032331537118382897,-0.0644955381142052,0.00032639101037673554,0.06148716976169726,0.00031327803535125367
18,16199.976984235982,4.499993606732217,16199821,999.9903713297782,899992,899.9539030329906,1000.0423321315469,2.4220584821407964,0.012684944193158337,-1.074608639725342,0.012148308621995573,-0.8912368370670151,0.010421697546575556,0.05201861267860458,0.00032883091242055687,-0.06447850368563773,0.0003268399273014511,0.06148864188631332,0.0003138265322511505
19,17099.978746638983,4.7499940962886065,17099814,999.9903656816524,899993,899.9524603679893,1000.0450464150008,2.4225210611186756,0.01276498574137293,-1.0739019987899239,0.012606260069847514,-0.893175148169728,0.010443672179813528,0.05202941988826145,0.00033452085566137687,-0.06450536018951769,0.00032878961740263223,0.06150595374838527,0.00031361326823224346
20,17999.993044057977,4.999998067793882,17999808,999.9897197705841,899994,899.9648553149891,1000.032384247939,2.422831472796161,0.012705531330904967,-1.0695099088230704,0.012538274692054376,-0.8957751652501991,0.010424231853768747,0.05210231776736048,0.00033461379080928664,-0.06450995550216244,0.0003275705809523375,0.06157906736898664,0.00031469426955978245
21,18899.99989263597,5.249999970176658,18899802,999.9895294901008,899994,899.9581119209761,1000.0398774993508,2.421239567135669,0.012904822867405382,-1.0701513182843994,0.012233080525783951,-0.8971187399468565,0.010416031505281864,0.05207403401032106,0.0003311162452533531,-0.06445973079724975,0.00033212518170774126,0.061592665310302636,0.0003140332389046332
22,19799.999949460966,5.499999985961379,19799794,999.9895985120459,899992,899.9514191499911,1000.0450922673662,2.4163766945997516,0.012689835110134428,-1.0699984639142905,0.012183885219130275,-0.8997076843808534,0.010439801734922793,0.052055823102382895,0.0003285783076761055,-0.06434915018936581,0.00032640222839266047,0.06159484539282474,0.00031433799865091623
23,20699.952803733002,5.749986889925834,20699738,999.9896229844078,899944,899.9036827580421,1000.0448017301521,2.417743810264505,0.012528236609387214,-1.0683903048170995,0.012370776406010473,-0.899986572701117,0.010421982100806497,0.05206101068747909,0.0003327766365852226,-0.06434348448445537,0.0003251648476821641,0.0616216495326347,0.0003140300925295377
24,21599.99832376896,5.999999534380266,21599781,999.9899387136193,900043,899.9971107819583,1000.0509881837307,2.4182672572904855,0.012757821079641064,-1.0699561390893324,0.011715311728719313,-0.8989981844067816,0.010446683578918202,0.05201948183599238,0.0003237439725360499,-0.06435595857567739,0.0003288273401958726,0.06164749975603144,0.00031444563636712236
25,22499.993740860955,6.249998261350266,22499775,999.9902781812531,899994,899.9461209339788,1000.0532021472258,2.418712439610653,0.012609017718153842,-1.0702880755612705,0.011827316743572578,-0.8992406395054157,0.010416564750752139,0.051995345507586714,0.000324892476686394,-0.06436870153097075,0.00032633806971512995,0.06167406388343756,0.0003152077884901474
