elapsed_h,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
3.3833657723386,2.43156152,-1.07350273,-0.888484744,0.051876409,-0.064746791,0.0618167792
3.400032187677765,2.42661661,-1.08678189,-0.877389349,0.0516056795,-0.0640863133,0.061300176
3.416699196024161,2.39646361,-1.09029838,-0.89220033,0.0511447201,-0.0638043226,0.0618426945
3.433379285186109,2.39450284,-1.08945616,-0.866174639,0.0516093921,-0.0639369953,0.0609977498
3.450046011776657,2.4301841,-1.08554512,-0.889140358,0.0518653351,-0.0648458903,0.0605273421
3.46671268738111,2.44411194,-1.07988622,-0.886153013,0.0519108228,-0.0651190036,0.061427136
3.4833794267124905,2.43152981,-1.08747229,-0.902466946,0.0513201497,-0.0649408797,0.0615689464
3.5000461643866663,2.44565654,-1.10645186,-0.868056799,0.0514041017,-0.0648145727,0.061615384
3.516712877881946,2.42541747,-1.08085134,-0.891105594,0.0515800701,-0.0643322235,0.0614684589
3.5333795823569463,2.42627291,-1.04437184,-0.877485357,0.052557651,-0.0646296081,0.0612513775
3.55004623523805,2.42462339,-1.04504411,-0.919579262,0.051956315,-0.0640758604,0.0612338601
3.5667129506166546,2.44214561,-1.08998654,-0.894412599,0.0519488669,-0.0651171998,0.0616335453
3.5833796570394445,2.43703075,-1.08478407,-0.874664454,0.052295977,-0.0649119367,0.0613654095
3.6000463729780554,2.40880156,-1.0973765,-0.881194002,0.0510690108,-0.0643941554,0.0612245352
3.6111575545711094,2.42514216,-1.07872923,-0.87590196,0.0519476476,-0.0642128531,0.0611962544
3.627824201071942,2.42418807,-1.07967798,-0.893043941,0.052189795,-0.0644804774,0.0616689317
3.6444909597647106,2.43120336,-1.06859318,-0.876380683,0.051795197,-0.0645244535,0.0616587071
3.6611576849658256,2.39721268,-1.08338853,-0.87956114,0.0516726849,-0.063792107,0.0613429694
3.6778243277069445,2.41128051,-1.09034456,-0.901421674,0.0515318517,-0.0642263382,0.061715771
3.6944910906316526,2.40633195,-1.07692269,-0.885478767,0.0522839806,-0.064477984,0.0616315634
3.7111577563963754,2.42590744,-1.08629163,-0.894862535,0.0518181349,-0.0641029356,0.0609119941
3.727824451956112,2.41741785,-1.06997163,-0.881224251,0.0519290936,-0.0644204497,0.0621721685
3.7444911795247107,2.41614885,-1.07006713,-0.884755859,0.0517758987,-0.0644012975,0.0618262137
3.7611578786169413,2.4329239,-1.08186753,-0.888868848,0.0515111742,-0.0649277645,0.0613973619
3.7778247434144334,2.4168247,-1.05868247,-0.877246141,0.0522536905,-0.0644143077,0.0606640335
3.794491365197771,2.43905115,-1.08235378,-0.884506122,0.0520060724,-0.0644637454,0.0611934596
3.8111580280649973,2.41344471,-1.07972153,-0.894056918,0.0518229892,-0.06453176,0.061405431
3.8278247360797186,2.42187293,-1.09461851,-0.880958732,0.0516360518,-0.0644261579,0.0610395249
3.8444914556333325,2.42404676,-1.07796701,-0.894850041,0.0518376662,-0.0642883204,0.0614463384
3.8611581770222174,2.43300997,-1.06083694,-0.89743655,0.0522002205,-0.064622813,0.0613696108
3.877824993299437,2.41350652,-1.08804139,-0.898357611,0.0519087998,-0.0646744154,0.0610418447
3.8889360235297095,2.43566983,-1.08235736,-0.89160441,0.0518577363,-0.0651198941,0.0614686872
3.9056028356908223,2.424944,-1.06613768,-0.887308832,0.0521333064,-0.0646098531,0.0610880813
3.922269472733056,2.44953762,-1.08425508,-0.894754618,0.0520077803,-0.0645401488,0.0610917163
3.938936192418041,2.4001347,-1.07518827,-0.890371507,0.0519423732,-0.0641722288,0.0616193706
3.955603000951944,2.43509423,-1.09098008,-0.906891265,0.0514297841,-0.0648263134,0.0614814143
3.9722695927899947,2.41829156,-1.05587252,-0.889975055,0.0524758728,-0.0646779407,0.0624625708
3.98893628759861,2.43882128,-1.06568884,-0.885737491,0.0521176202,-0.0648339761,0.0613682408
4.005602983473056,2.40290417,-1.08066546,-0.888305149,0.052288054,-0.0641620362,0.0617494952
4.022269749226382,2.42078791,-1.06753739,-0.883046717,0.0521097657,-0.0643111167,0.061857102
4.038936405146653,2.45202812,-1.08608244,-0.870944265,0.0517485403,-0.065263691,0.0618055728
4.055603102233322,2.43275409,-1.07846313,-0.861881253,0.0522842364,-0.0647619155,0.0613422524
4.072269825476946,2.42593243,-1.06340307,-0.905202946,0.0518838297,-0.0645387104,0.061671804
4.0889366066330535,2.44027499,-1.07457299,-0.888771013,0.0521351376,-0.0649452773,0.0612158952
4.105603254929997,2.42872382,-1.07490763,-0.88613387,0.0522632803,-0.0648396569,0.0611656355
4.122270029553329,2.41525409,-1.08753534,-0.906407938,0.0516468792,-0.063920309,0.0617242877
4.138936714149992,2.4206352,-1.08301721,-0.886870732,0.0520003779,-0.0644323183,0.0617845437
4.155603463667487,2.42517884,-1.05897882,-0.875751811,0.05207295,-0.0648575625,0.061258031
4.166714525690833,2.41653449,-1.07645975,-0.900648571,0.0518113125,-0.0642666565,0.0615248242
4.183381232769154,2.42966767,-1.0585386,-0.888482917,0.0525163418,-0.0647855384,0.0615221299
4.200048066074717,2.42136615,-1.08345545,-0.877239492,0.0516353668,-0.063965847,0.0613837078
4.216714647334722,2.40438812,-1.07141642,-0.903652867,0.0518387393,-0.0643303968,0.0617110309
4.2333814090380555,2.43245,-1.08995563,-0.908108312,0.0511698545,-0.0643973154,0.0612857593
4.250048135823599,2.44259657,-1.07547724,-0.896005494,0.0518641341,-0.0645647216,0.0611168233
4.266714904640556,2.40981176,-1.07459089,-0.899623758,0.0517999189,-0.0647462156,0.0610511879
4.28338170250611,2.4187168,-1.05863322,-0.879628872,0.0525898454,-0.0642765523,0.0612848871
4.300048378584988,2.41716212,-1.08973271,-0.901766104,0.0516702646,-0.0641422401,0.0610698104
4.316715255106101,2.41478005,-1.06990463,-0.896913841,0.0522273048,-0.0638181821,0.0616717218
4.3333818339363885,2.41306871,-1.06685401,-0.894703253,0.0517775929,-0.0646522538,0.0616514462
4.350048640048044,2.42620306,-1.07494671,-0.895094663,0.0521420879,-0.0644964604,0.0607857236
4.366715315528321,2.43665855,-1.05737979,-0.896960895,0.0520975821,-0.0646910468,0.0614334013
4.383382131910265,2.40159849,-1.09402924,-0.886542158,0.051665488,-0.0638386541,0.0615084347
4.400048865188889,2.41473606,-1.05093631,-0.897958601,0.0526231586,-0.0641698086,0.0612817909
4.416715497668613,2.42029077,-1.09109282,-0.889246741,0.0517095326,-0.0644089648,0.0612977968
4.433382173433605,2.44108324,-1.05376108,-0.87816121,0.052376568,-0.0648363644,0.0613916628
4.444493293119433,2.42017547,-1.07265057,-0.897292173,0.0518837749,-0.0641229874,0.0611887652
4.461160182134998,2.41181389,-1.08348972,-0.891105521,0.0518820716,-0.0642536601,0.0621747166
