sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1855,3.603917412,-0.264687817759,-3.00260951257,-5.81816666512,0.122188640568,-0.0169561680803,0.0110237667704,0,0,0,0,0,0,0.121582,0.118672000005,-0.333339999998,0.002367,0.00765200000004,-0.00271699999988
1856,3.605921189,0.45088037799,-3.08072016352,-5.99908235029,0.125552686425,0.00367882416769,0.0143089098233,0,0,0,0,0,0,0.091582,0.128672000006,-0.383338999998,0.002367,0.00865200000004,-0.00271699999986
1857,3.607914387,-0.390109483789,-2.9594826045,-5.99633988247,0.119145256149,-0.0159127471272,0.0158569466777,0,0,0,0,0,0,0.091582,0.128672000006,-0.383338999998,0.002367,0.00865200000004,-0.00271699999986
1858,3.609930648,-0.248253051413,-3.11889577221,-6.31550072013,0.109838659808,0.00153416638454,0.0107654538602,0,0,0,0,0,0,0.091582,0.128672000006,-0.383338999998,0.002367,0.00865200000004,-0.00271699999986
1859,3.611902867,-0.428278036629,-3.43734470872,-5.86685070851,0.138452766581,-0.0245953446956,0.00570920360487,0,0,0,0,0,0,0.091582,0.128672000006,-0.383338999998,0.002367,0.00865200000004,-0.00271699999986
1860,3.613908197,-0.0310059843989,-2.97394293574,-5.94240913636,0.125390032445,-0.0189094908726,0.00525868892256,0,0,0,0,0,0,0.071582,0.118672000004,-0.253339999998,0.002367,0.00665200000004,-0.00271699999989
1861,3.615919519,0.277911791563,-3.17535424583,-5.63535104851,0.132374315681,-0.00631967969179,0.00382114891141,0,0,0,0,0,0,0.071582,0.118672000004,-0.253339999998,0.002367,0.00665200000004,-0.00271699999989
1862,3.617917846,0.352067649553,-3.53462042123,-5.75894335312,0.144313095996,-0.014539362002,0.012767032437,0,0,0,0,0,0,0.071582,0.118672000004,-0.253339999998,0.002367,0.00665200000004,-0.00271699999989
1863,3.619913378,-0.372371597852,-3.29187519904,-5.84313316498,0.138263617859,-0.0249250302743,0.0121115621352,0,0,0,0,0,0,0.071582,0.118672000004,-0.253339999998,0.002367,0.00665200000004,-0.00271699999989
1864,3.621921954,-0.328903477018,-3.43747902798,-5.70056333787,0.144937679252,-0.0238990449762,0.0134663721727,0,0,0,0,0,0,0.071582,0.0786720000049,-0.303338999999,0.006367,0.0106520000001,-0.00471699999983
1865,3.623908510,-0.027443618378,-2.79955698476,-6.0405042301,0.114404847014,-0.0182120205638,0.0160003601399,0,0,0,0,0,0,0.071582,0.0786720000049,-0.303338999999,0.006367,0.0106520000001,-0.00471699999983
1866,3.625918298,-0.605686903761,-3.11836846786,-5.94197890179,0.125673576669,-0.0155325947887,-0.00531861339023,0,0,0,0,0,0,0.071582,0.0786720000049,-0.303338999999,0.006367,0.0106520000001,-0.00471699999983
1867,3.627914833,0.0363972317199,-3.14037544642,-5.91583606747,0.128736014432,-0.00703001675975,0.00459522923237,0,0,0,0,0,0,0.071582,0.0786720000049,-0.303338999999,0.006367,0.0106520000001,-0.00471699999983
1868,3.629921255,-0.412308052758,-3.58307188216,-6.33906033199,0.132953793541,-0.0192733440646,0.0124274037531,0,0,0,0,0,0,0.091582,0.0886720000049,-0.303338999999,0.004367,0.00865200000006,-0.00371699999986
1869,3.631912048,0.066616629931,-3.15532098931,-6.26699539923,0.109195232917,-0.000168014508637,0.00426891336175,0,0,0,0,0,0,0.091582,0.0886720000049,-0.303338999999,0.004367,0.00865200000006,-0.00371699999986
1870,3.633921316,-0.0297224375449,-2.83921093199,-6.4776672224,0.103404900371,-0.00411230263107,0.00234618542314,0,0,0,0,0,0,0.091582,0.0886720000049,-0.303338999999,0.004367,0.00865200000006,-0.00371699999986
1871,3.635918371,-0.0507838549572,-3.16665502364,-6.38119502737,0.110452634502,-0.00546802557258,0.00539547212333,0,0,0,0,0,0,0.091582,0.0886720000049,-0.303338999999,0.004367,0.00865200000006,-0.00371699999986
1872,3.637925294,-0.27550970404,-3.09629972348,-5.90381989695,0.119926015568,-0.0111879176753,0.0133331316127,0,0,0,0,0,0,0.071582,0.128672,0.0166610000021,0.001367,0.00765200000004,-0.00271699999988
1873,3.639915917,-0.31761917802,-3.01636637244,-5.97989832044,0.110280817782,-0.0024124823917,-0.00145685213501,0,0,0,0,0,0,0.071582,0.128672,0.0166610000021,0.001367,0.00765200000004,-0.00271699999988
1874,3.641921889,-0.356194828011,-3.12099513092,-5.98234277669,0.124079402276,-0.0182345857074,0.00565589785494,0,0,0,0,0,0,0.071582,0.128672,0.0166610000021,0.001367,0.00765200000004,-0.00271699999988
1875,3.643916439,0.0827052480902,-3.11269151415,-6.35081979721,0.123827167564,-0.000765675704773,0.0113882245766,0,0,0,0,0,0,0.071582,0.128672,0.0166610000021,0.001367,0.00765200000004,-0.00271699999988
