row_index,write_index,contact_orientation_error_rad,outer_orientation_error_rad,orientation_error_abs_diff_rad,logged_step4e_orientation_error_rad,logged_bad_fixed_good,R_d_z_dot_R_cur_z,normal_load_n,force_error_n,outer_xdot_norm,orientation_consistent,xdot_norm_ok
14,11678,0.13969589871317828,0.13969589871317828,0.0,0.99995381,False,0.9902583856663175,7.5322369711312085,-2.5322369711312085,0.34897298759712714,True,True
15,11679,0.1397874490590975,0.1397874490590975,0.0,0.999953807,False,0.9902456338647875,7.532161275722472,-2.532161275722472,0.34920256836526503,True,True
16,11680,0.13978179099738022,0.13978179099738022,0.0,0.999953811,False,0.9902464222016129,7.5321674750884755,-2.5321674750884755,0.3491893696163927,True,True
17,11681,0.13980927201261187,0.13980927201261187,0.0,0.999953811,False,0.9902425929792604,7.532147475789149,-2.5321474757891487,0.3492591232165965,True,True
18,11682,0.13994895153125275,0.13994895153125275,0.0,0.999953807,False,0.9902231183847371,7.532033072595242,-2.532033072595242,0.3496086048849631,True,True
19,11683,0.14001962497524997,0.14001962497524997,0.0,0.999953807,False,0.990213257491781,7.531977497110467,-2.531977497110467,0.34978590209788657,True,True
20,11684,0.14003548787996942,0.14003548787996942,0.0,0.999953807,False,0.9902110434998015,7.531967564700847,-2.531967564700847,0.34982622456707124,True,True
21,11685,0.14006523403284246,0.14006523403284246,0.0,0.999953805,False,0.990206891145598,7.531938507394101,-2.531938507394101,0.34990150081871096,True,True
22,11686,0.14010717958943816,0.14010717958943816,0.0,0.999953806,False,0.9902010343513937,7.531904795143786,-2.5319047951437863,0.35000707358149596,True,True
23,11687,0.14008585267831503,0.14008585267831503,0.0,0.999953807,False,0.9902040124132355,7.531923301479422,-2.531923301479422,0.34995425719921697,True,True
24,11688,0.14019251130441882,0.14019251130441882,0.0,0.999953811,False,0.9901891142367792,7.53183844951062,-2.5318384495106203,0.35022151731889023,True,True
25,11689,0.14029636077465588,0.14029636077465588,0.0,0.999953813,False,0.9901745976224975,7.531754925049482,-2.5317549250494817,0.3504813235097572,True,True
26,11690,0.14020424127212508,0.14020424127212508,0.0,0.999953802,False,0.9901874750964034,7.5318256782478565,-2.5318256782478565,0.3502519993939745,True,True
27,11691,0.1403818493646487,0.1403818493646487,0.0,0.140381849,False,0.9901626395730939,-0.03540479761585172,5.035404797615851,0.35068248945218455,True,True
28,11692,0.1404926259829397,0.1404926259829397,0.0,0.140492626,False,0.99014713349842,-0.035413136187377736,5.035413136187378,0.35095108552172616,True,True
29,11693,0.14053532198370058,0.14053532198370058,0.0,0.140535322,False,0.9901411538363506,-0.0354120981240485,5.035412098124048,0.35105309178845917,True,True
30,11694,0.14058212092088282,0.14058212092088282,0.0,0.140582121,False,0.9901345974761742,-0.035415313791862885,5.035415313791863,0.35116858860654865,True,True
31,11695,0.14064630364785413,0.14064630364785413,0.0,0.140646304,False,0.9901256021841242,-0.0354221160548366,5.0354221160548365,0.35132991101344885,True,True
32,11696,0.14088210268848242,0.14088210268848242,0.0,0.140882103,False,0.9900925196259533,-0.0354356622217814,5.035435662221781,0.3519225437177756,True,True
33,11697,0.14083365405770396,0.14083365405770396,0.0,0.140833654,False,0.9900993214526789,-0.03543655569356022,5.03543655569356,0.35180544309210715,True,True
34,11698,0.1409311817249904,0.1409311817249904,0.0,0.140931182,False,0.9900856269253909,-0.03544722096644511,5.035447220966445,0.3520533606433293,True,True
35,11699,0.14089545646434115,0.14089545646434115,0.0,0.140895456,False,0.990090644446773,-0.035437942795473104,5.035437942795473,0.35196888428574796,True,True
36,11700,0.1410701135132569,0.1410701135132569,0.0,0.141070114,False,0.9900661022991051,-0.03545339671441939,5.035453396714419,0.35241165090482157,True,True
37,11701,0.14106094785158785,0.14106094785158785,0.0,0.141060948,False,0.9900673909740935,-0.03545133355727475,5.035451333557274,0.35239465802244935,True,True
38,11702,0.14110212687690984,0.14110212687690984,0.0,0.141102127,False,0.9900616006271038,-0.035455361884586235,5.035455361884586,0.3525026616216171,True,True
39,11703,0.14119857343266606,0.14119857343266606,0.0,0.141198573,False,0.9900480323214506,-0.03546218751362007,5.03546218751362,0.3527504960684563,True,True
40,11704,0.14129956437083735,0.14129956437083735,0.0,0.141299564,False,0.9900338148319795,-0.03547302708595337,5.035473027085954,0.35300920823403564,True,True
41,11705,0.14130142481366503,0.14130142481366503,0.0,0.141301425,False,0.9900335528243879,-0.03546982013808237,5.035469820138083,0.35301817834845045,True,True
42,11706,0.14139095859709427,0.14139095859709427,0.0,0.141390959,False,0.9900209396623693,-0.03547911070385398,5.035479110703854,0.35324921592712466,True,True
43,11707,0.14133609193329344,0.14133609193329344,0.0,0.141336092,False,0.9900286700005055,-0.03547002465219595,5.035470024652196,0.3531154160879167,True,True
44,11708,0.1413894367045375,0.1413894367045375,0.0,0.141389437,False,0.9900211541268225,-0.03548045218369302,5.035480452183693,0.35325307297269193,True,True
45,11709,0.14144655065847136,0.14144655065847136,0.0,0.141446551,False,0.9900131040809947,-0.03548184680121942,5.035481846801219,0.3534022834709786,True,True
46,11710,0.14142416325111695,0.14142416325111695,0.0,0.141424163,False,0.9900162599058396,-0.03548064476998464,5.035480644769985,0.35334955887007097,True,True
47,11711,0.14141888171701034,0.14141888171701034,0.0,0.141418882,False,0.9900170043411756,-0.035478328985745294,5.035478328985746,0.3533394093114231,True,True
48,11712,0.14138237310234997,0.14138237310234997,0.0,0.141382373,False,0.9900221494966237,-0.03547953861328886,5.035479538613289,0.3532532348777378,True,True
49,11713,0.14147009607593342,0.14147009607593342,0.0,0.141470096,False,0.9900097844827321,-0.03547819176628385,5.035478191766284,0.35347602556342883,True,True
50,11714,0.14141433809645967,0.14141433809645967,0.0,0.141414338,False,0.9900176447450617,-0.035477842019329645,5.03547784201933,0.3533386705145145,True,True
51,11715,0.1414847236450719,0.1414847236450719,0.0,0.141484724,False,0.9900077219089353,-0.03548538459974866,5.035485384599749,0.3535189620909144,True,True
52,11716,0.14145812058170273,0.14145812058170273,0.0,0.141458121,False,0.9900114729405718,0.1533254443267526,4.846674555673247,0.3534551563653927,True,True
53,11717,0.1415244642789556,0.1415244642789556,0.0,0.141524464,False,0.9900021171749082,0.15333023162412837,4.846669768375872,0.3536221915227442,True,True
54,11718,0.14142042401572985,0.14142042401572985,0.0,0.141420424,False,0.9900167869561185,0.15331994692651732,4.846680053073483,0.3533631485903283,True,True
55,11719,0.14137178070514153,0.14137178070514153,0.0,0.141371781,False,0.9900236420351455,0.1533168162286897,4.846683183771311,0.35324325023120584,True,True
56,11720,0.1414512524651037,0.1414512524651037,0.0,0.141451252,False,0.9900124412311431,0.1533210741681969,4.846678925831803,0.3534447856233164,True,True
57,11721,0.1413994587543618,0.1413994587543618,0.0,0.141399459,False,0.9900197417816478,0.15331625220553813,4.8466837477944615,0.353315918082098,True,True
58,11722,0.14128281403894719,0.14128281403894719,0.0,0.141282814,False,0.9900361736397485,0.15330600206444506,4.846693997935555,0.35302552839714135,True,True
59,11723,0.1413187011504476,0.1413187011504476,0.0,0.141318701,False,0.990031119620972,0.15330835617705824,4.8466916438229415,0.3531161447326899,True,True
60,11724,0.14129851823171583,0.14129851823171583,0.0,0.141298518,False,0.9900339621590479,0.15330907642673883,4.846690923573261,0.3530674057637906,True,True
61,11725,0.14132912761938043,0.14132912761938043,0.0,0.141329128,False,0.9900296510116063,0.1533096379468599,4.84669036205314,0.3531448117341775,True,True
62,11726,0.14130705268119034,0.14130705268119034,0.0,0.141307053,False,0.9900327602266269,0.1533066805122592,4.84669331948774,0.3530914387282987,True,True
63,11727,0.14128180099840085,0.14128180099840085,0.0,0.141281801,False,0.990036316288784,0.15330282634833256,4.846697173651667,0.3530291644553835,True,True
64,11728,0.14123057888090196,0.14123057888090196,0.0,0.141230579,False,0.9900435276921005,0.15329896085763478,4.846701039142365,0.35290100627486026,True,True
