method,unit,condition,scheduled_phase,slot_state,attempt_id,status,artifact_parsed,artifact_sha256,reason,force_mae_n,force_rmse_n,force_peak_n,force_error_peak_n,load_min_n,path_rms_m,path_peak_m,progress_ratio,actual_progress_m,reference_progress_m,attitude_rms_rad,attitude_peak_rad,low_load_duration_s,saturation_ticks,qp_intervention_ticks,low_load_duration_definition
SFC,5,nominal,initial,completed_nominal_infeasible,SFC-05-nominal,complete,True,965fb7133bded642fe699013ba5f256d1f0fb6f5fa59234f9305f28613c7e4ed,,0.17278002991441335,0.39794157232309163,6.806009276316506,1.806009276316506,3.2625592625693334,0.005496828782913424,0.008704570103929499,0.8566540320504021,0.16286759152383684,0.19012061512628747,0.04152273098421946,0.09478212664389984,0.0,0,217,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,5,disturbed,initial,completed_nominal_infeasible,SFC-05-disturbed,complete,True,71f68ecbed1a5df337143f34e7c2ede3533573cb51ca136f79602dfe4068e813,,0.551787781715138,1.0268533441463292,6.806009276316506,3.840663798996218,1.1593362010037824,0.0070834996679398415,0.018822842725184155,0.8766104265779981,0.1666675138499673,0.19012723188860878,0.049065171511186736,0.09478212664389984,0.0,1229,1319,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,6,nominal,initial,completed_nominal_infeasible,SFC-06-nominal,complete,True,6a870d9d70b3f9f81892af537852266755223312952b3dc724b41e1c5d0ef8df,,0.567434078186193,0.6792996809276028,7.003982717280114,2.003982717280114,3.368063700660376,0.004905641262154749,0.007205975488784673,0.8254738748957029,0.15693982218370997,0.19012088323635806,0.012245589409508744,0.02850751564329622,0.0,0,393,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,6,disturbed,initial,completed_nominal_infeasible,SFC-06-disturbed,complete,True,2099693f44cba134503858677b3d71f2b96f7a62679ccb2f14419352efd178cb,,0.8191229419121964,1.074760557847125,7.003982717280114,3.2648442716724424,1.7351557283275576,0.004987485724803178,0.009692188680816139,0.8600355995555831,0.16351249048688202,0.19012293278484735,0.01806132688825693,0.039953011821517656,0.0,0,393,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,7,nominal,initial,completed_nominal_and_disturbed_guard_infeasible,SFC-07-nominal,complete,True,2bd0dafc6c3332b4ef9ce90b697a9319af53d2fa99b05821e28263ef5bd12b94,,1.3298762256712655,1.5057154988485926,7.7776761756778985,2.7915276363598474,2.2084723636401526,0.006235586343771092,0.011045338041741092,0.8530010771413349,0.16217180857654262,0.19011911347173147,0.04526006403261628,0.09111235468454507,0.0,0,3796,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,7,disturbed,initial,completed_nominal_and_disturbed_guard_infeasible,SFC-07-disturbed,complete,True,7e0b7469b10135cbc106facd00931c1f0c8b132b06128e7ce509d54998c82cae,,1.2324837963571416,1.5331184753108797,7.7776761756778985,3.903942999409688,1.096057000590312,0.006931987232828644,0.013062933037845639,0.828133655838419,0.1574503108342992,0.19012668996635979,0.05023999760209604,0.0944314475436326,0.0,0,3310,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
SFC,8,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,8,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,9,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,9,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,10,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,10,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,11,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,11,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,12,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,12,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,13,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,13,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,14,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,14,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,15,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,15,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,16,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,16,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,17,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,17,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,18,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,18,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,19,nominal,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,19,disturbed,bayesian_ei,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,20,nominal,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,20,disturbed,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,21,nominal,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,21,disturbed,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,22,nominal,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,22,disturbed,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,23,nominal,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
SFC,23,disturbed,repeat_incumbent,stopped_before_ei,,,False,,,,,,,,,,,,,,,,,,
DSFC,0,nominal,initial,completed_feasible,DSFC-00-nominal,complete,True,e2c99ad28124832160b936b4334786440a81da031668e129fef0d883206ddd30,,0.07527003873112191,0.17941693969963823,6.059742532074173,1.0597425320741731,4.203773374978011,0.005220403371608704,0.007966665608094461,0.8768818180569369,0.16671300059752964,0.19012026155012007,0.018199933302152072,0.03763670920722913,0.0,0,44,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
DSFC,0,disturbed,initial,completed_feasible,DSFC-00-disturbed,complete,True,80390b0948e4e4a5ec6e7005ad07de9dced9db78223e8e07b6509edb9ea6084e,,0.4467751729175687,0.8286849980442815,6.059742532074173,3.082480454956901,1.9175195450430993,0.006427730487016917,0.013722203528058087,0.8940443716520181,0.16998120582904386,0.1901261405124133,0.05203510081368613,0.1561816853670266,0.0,0,4154,duration of true_normal_load_n < 1 N on the declared sample grid; not geometric separation or physical contact loss
