sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1935,3.875569767,-0.0506078115755,-4.33824933903,-9.26049870982,0.150220556613,-0.00752092976378,-0.00318053890665,0,0,0,0,0,0,0.101582,0.118672000002,-0.133338999998,0.002367,0.00365200000001,-0.000716999999942
1936,3.877622788,0.450761127639,-4.0416662916,-8.99735990264,0.152950469806,0.00253500188823,0.00547394127434,0,0,0,0,0,0,0.101582,0.118672000002,-0.133338999998,0.002367,0.00365200000001,-0.000716999999942
1937,3.879601850,-0.0715669427111,-4.04493409657,-9.10058531691,0.148909542162,-0.00245769897065,0.00927537561799,0,0,0,0,0,0,0.081582,0.108672000001,-0.0333399999983,0.004367,0.00465200000003,-0.00171699999993
1938,3.881569931,0.188535640615,-3.90288045284,-8.74281428397,0.141864479056,-0.00229039511187,0.00741377450245,0,0,0,0,0,0,0.081582,0.108672000001,-0.0333399999983,0.004367,0.00465200000003,-0.00171699999993
1939,3.883550135,-0.0645872746604,-4.0565441107,-8.86891962563,0.143584504014,-0.00266803223621,-0.00172297022714,0,0,0,0,0,0,0.081582,0.108672000001,-0.0333399999983,0.004367,0.00465200000003,-0.00171699999993
1940,3.885553743,-0.393563780866,-4.05113966004,-8.62466639487,0.166051036158,-0.031844206438,0.0104943895067,0,0,0,0,0,0,0.081582,0.108672000001,-0.0333399999983,0.004367,0.00465200000003,-0.00171699999993
1941,3.887551159,-0.601847988121,-3.75476194723,-9.11894833816,0.134557473166,-0.0210923486255,-0.00233809638974,0,0,0,0,0,0,0.071582,0.0986720000036,-0.223338999998,0.004367,0.00665200000004,-0.00271699999989
1942,3.889563464,-0.078969443415,-4.23031417801,-8.68146444039,0.168572690368,-0.0188826599448,0.0065328720924,0,0,0,0,0,0,0.071582,0.0986720000036,-0.223338999998,0.004367,0.00665200000004,-0.00271699999989
1943,3.891542396,0.127861643211,-3.75102956981,-9.09494134012,0.139128626803,-0.00870884988858,-0.0022983413209,0,0,0,0,0,0,0.071582,0.0986720000036,-0.223338999998,0.004367,0.00665200000004,-0.00271699999989
1944,3.893548809,-0.163383854451,-4.03741505234,-8.73728765527,0.151441494781,-0.0166302515586,0.00505824885854,0,0,0,0,0,0,0.071582,0.0986720000036,-0.223338999998,0.004367,0.00665200000004,-0.00271699999989
1945,3.895560532,-0.0150337924777,-3.80592432335,-9.11926596754,0.135082665523,-0.00880363478576,-0.00090993679289,0,0,0,0,0,0,0.091582,0.0886720000017,-0.103339999999,0.002367,0.00365200000003,-0.00171699999994
1946,3.897560082,0.220759439124,-3.88633512215,-8.73124211243,0.151875484313,-0.00371379023492,0.00992907406672,0,0,0,0,0,0,0.091582,0.0886720000017,-0.103339999999,0.002367,0.00365200000003,-0.00171699999994
1947,3.899544574,-0.0811786994792,-4.30925194723,-8.7702097189,0.156683074743,-0.00728015091963,0.00802054115237,0,0,0,0,0,0,0.091582,0.0886720000017,-0.103339999999,0.002367,0.00365200000003,-0.00171699999994
1948,3.901539295,-0.00654066699956,-3.90021833086,-8.87980591348,0.14505652135,-0.00732388052983,0.00973339352085,0,0,0,0,0,0,0.091582,0.0886720000017,-0.103339999999,0.002367,0.00365200000003,-0.00171699999994
1949,3.903596093,0.414569400443,-3.94475823997,-8.68682917472,0.154073810311,-0.0130696251256,0.0132774267823,0,0,0,0,0,0,0.051582,0.0786719999989,0.0666600000013,0.004367,0.00565200000004,-0.00271699999991
1950,3.905546261,-0.609418828658,-3.96051343093,-8.92237673368,0.154514136272,-0.0322520624377,0.00429777199235,0,0,0,0,0,0,0.051582,0.0786719999989,0.0666600000013,0.004367,0.00565200000004,-0.00271699999991
1951,3.907536654,-0.320589391033,-4.19692154036,-8.84072550272,0.15305225831,-0.0150745902313,0.0145373407177,0,0,0,0,0,0,0.051582,0.0786719999989,0.0666600000013,0.004367,0.00565200000004,-0.00271699999991
1952,3.909545382,0.127688906873,-4.2951153504,-8.14710512771,0.178455465465,-0.0266884051523,0.00472297185881,0,0,0,0,0,0,0.051582,0.0786719999989,0.0666600000013,0.004367,0.00565200000004,-0.00271699999991
1953,3.911550272,-0.0887246736334,-3.82955209781,-8.73469492812,0.142265325472,-0.0109531971512,0.00345021134265,0,0,0,0,0,0,-0.008418,0.0586720000002,-0.0133399999991,0.012367,0.0116520000001,-0.00571699999981
1954,3.913546496,0.21093037336,-4.196442293,-8.9340315995,0.159104474704,-0.00704847434042,0.00255996754288,0,0,0,0,0,0,-0.008418,0.0586720000002,-0.0133399999991,0.012367,0.0116520000001,-0.00571699999981
1955,3.915541838,-0.0595995819004,-4.27686036493,-8.98164483625,0.14715105876,-0.00921562835208,0.0105529132738,0,0,0,0,0,0,-0.008418,0.0586720000002,-0.0133399999991,0.012367,0.0116520000001,-0.00571699999981
1956,3.917545116,-0.0364564440641,-4.247319064,-8.52830449571,0.165192935079,-0.0104690447445,0.000736648541111,0,0,0,0,0,0,-0.008418,0.0586720000002,-0.0133399999991,0.012367,0.0116520000001,-0.00571699999981
1957,3.919557059,-0.207794671555,-3.92579491489,-9.41985234864,0.138152367201,-0.0119360437572,0.00579030329201,0,0,0,0,0,0,0.021582,0.0786719999996,0.0266610000013,0.008367,0.00965200000008,-0.00471699999985
1958,3.921551720,-0.177291764276,-3.97084702209,-8.89272642737,0.152151366344,-0.0239846093065,0.00831531161013,0,0,0,0,0,0,0.021582,0.0786719999996,0.0266610000013,0.008367,0.00965200000008,-0.00471699999985
1959,3.923558714,-0.140602469406,-3.78105863776,-8.92824972031,0.138372669857,-0.0178708328793,0.00246795643333,0,0,0,0,0,0,0.021582,0.0786719999996,0.0266610000013,0.008367,0.00965200000008,-0.00471699999985
1960,3.925550751,0.00554795475762,-4.36173753085,-8.41198586511,0.162337118688,-0.0144464509981,0.0123136317313,0,0,0,0,0,0,0.021582,0.0786719999996,0.0266610000013,0.008367,0.00965200000008,-0.00471699999985
1961,3.927562243,-0.0247179299091,-3.95298021178,-9.07867275215,0.149943657784,-0.00773166699228,0.00191032027096,0,0,0,0,0,0,-0.008418,0.088671999997,0.186661000001,0.007367,0.0106520000001,-0.00571699999983
