sample_index,t_s,ur_fx_n,ur_fy_n,ur_fz_n,ur_tx_nm,ur_ty_nm,ur_tz_nm,ur_vx_mps,ur_vy_mps,ur_vz_mps,ur_wx_radps,ur_wy_radps,ur_wz_radps,urcap_fx_n,urcap_fy_n,urcap_fz_n,urcap_tx_nm,urcap_ty_nm,urcap_tz_nm
1227,2.454344897,-0.0538838682355,-3.76105381662,-8.2259336997,0.149997262899,-0.00855330872296,-9.93874313544e-05,0,0,0,0,0,0,0.081582,0.0986719999994,0.0366590000016,0.004367,0.00565200000004,-0.00271699999991
1228,2.456343455,0.229255309417,-3.45763151564,-8.80597055406,0.12628793135,-0.00805441000578,0.0100653512008,0,0,0,0,0,0,0.081582,0.0986719999994,0.0366590000016,0.004367,0.00565200000004,-0.00271699999991
1229,2.458353796,-0.208496146837,-3.54187982393,-8.87171644812,0.12207102706,-0.0135125205259,-0.00530756902397,0,0,0,0,0,0,0.081582,0.0886719999965,0.216660000001,0.001367,0.001652,0.000283000000026
1230,2.460352414,0.296008054623,-4.0137274913,-8.75108465429,0.143627780818,0.00416269532976,0.00125554544778,0,0,0,0,0,0,0.081582,0.0886719999965,0.216660000001,0.001367,0.001652,0.000283000000026
1231,2.462344851,0.0322417177939,-3.87012870815,-8.90512929003,0.135426456153,-0.00648171565647,0.0022977460318,0,0,0,0,0,0,0.081582,0.0886719999965,0.216660000001,0.001367,0.001652,0.000283000000026
1232,2.464346455,-0.155574741351,-3.68752359238,-8.62789589308,0.129809163097,-0.00927921544107,0.00607133631453,0,0,0,0,0,0,0.081582,0.0886719999965,0.216660000001,0.001367,0.001652,0.000283000000026
1233,2.466356716,-0.292552721622,-3.53432567179,-8.5863288649,0.126025557229,-0.00794582171449,-0.000639067064532,0,0,0,0,0,0,0.101582,0.0886719999994,0.0366590000014,-0.000633,0.002652,0.000283000000042
1234,2.468347099,-0.234541662423,-3.52102601678,-8.7785664014,0.122669144968,-0.00990381386711,0.00330072409225,0,0,0,0,0,0,0.101582,0.0886719999994,0.0366590000014,-0.000633,0.002652,0.000283000000042
1235,2.470346288,0.540228331103,-3.56874325755,-8.60204174625,0.129711557636,0.0011805512086,0.00553079983211,0,0,0,0,0,0,0.101582,0.0886719999994,0.0366590000014,-0.000633,0.002652,0.000283000000042
1236,2.472348854,0.271071280709,-3.50306113728,-8.69376980555,0.133233757473,0.0022853503724,0.0103748585665,0,0,0,0,0,0,0.101582,0.0886719999994,0.0366590000014,-0.000633,0.002652,0.000283000000042
1237,2.474379372,0.0252389766356,-3.62243651524,-8.42199580422,0.136843608821,-0.00267989016781,0.0132250951261,0,0,0,0,0,0,0.071582,0.0586719999956,0.276661000001,0.000367,0.000651999999995,0.00028300000001
1238,2.476352362,0.370525288204,-3.56700373492,-8.64025598158,0.136733467703,-0.00118261699097,0.00767128073031,0,0,0,0,0,0,0.071582,0.0586719999956,0.276661000001,0.000367,0.000651999999995,0.00028300000001
1239,2.478343757,-0.144735928888,-3.96935190618,-8.48339077422,0.143414988784,-0.0228492377854,0.00838153461792,0,0,0,0,0,0,0.071582,0.0586719999956,0.276661000001,0.000367,0.000651999999995,0.00028300000001
1240,2.480365008,-0.168328979348,-3.82155977766,-8.34178027006,0.139989227993,-0.0175858608037,0.00659287469709,0,0,0,0,0,0,0.071582,0.0586719999956,0.276661000001,0.000367,0.000651999999995,0.00028300000001
1241,2.482374377,0.0926748229448,-3.81174544712,-8.73753885912,0.133998346546,0.000992691986108,0.0103421167576,0,0,0,0,0,0,0.051582,0.0786719999981,0.116661000001,0.003367,0.00565200000004,-0.00271699999991
1242,2.484358679,-0.129478814223,-4.14613709415,-8.63138513231,0.140466160972,-0.0137589840855,0.0107690875295,0,0,0,0,0,0,0.051582,0.0786719999981,0.116661000001,0.003367,0.00565200000004,-0.00271699999991
1243,2.486357197,0.112202949486,-3.97891763978,-8.55030042792,0.159702450372,-0.00988465181678,0.00858204125323,0,0,0,0,0,0,0.051582,0.0786719999981,0.116661000001,0.003367,0.00565200000004,-0.00271699999991
1244,2.488358420,-0.105407651097,-3.76693930804,-8.3700261324,0.151712758891,-0.0146552511711,0.00581412732253,0,0,0,0,0,0,0.051582,0.0786719999981,0.116661000001,0.003367,0.00565200000004,-0.00271699999991
1245,2.490372448,-0.125351904389,-4.02295918684,-8.53104401229,0.153538472674,-0.0154818261023,0.0110271125524,0,0,0,0,0,0,0.021582,0.0586720000009,-0.0533389999991,0.008367,0.0106520000001,-0.00471699999983
1246,2.492357942,-0.0258501444559,-3.55516526297,-8.59081506952,0.139111645542,-0.0204126548215,0.0121783910574,0,0,0,0,0,0,0.021582,0.0586720000009,-0.0533389999991,0.008367,0.0106520000001,-0.00471699999983
1247,2.494364084,0.262977193765,-3.77309117018,-8.55363275979,0.146521612566,-0.0131456959579,0.00841885076015,0,0,0,0,0,0,0.021582,0.0586720000009,-0.0533389999991,0.008367,0.0106520000001,-0.00471699999983
1248,2.496353956,-0.0380359467515,-3.92169351694,-8.37930191946,0.14097370125,-0.0155994241729,0.0148055739438,0,0,0,0,0,0,0.021582,0.0586720000009,-0.0533389999991,0.008367,0.0106520000001,-0.00471699999983
1249,2.498408649,-0.0466740220517,-4.04439447108,-8.40505127217,0.160289474474,-0.0204902903495,0.00364200400822,0,0,0,0,0,0,-0.008418,0.0786720000004,-0.0233399999987,0.010367,0.0136520000001,-0.00571699999978
1250,2.500366492,0.206171978252,-3.71224171457,-8.47488868621,0.137098361279,-0.015373815712,0.00341582191107,0,0,0,0,0,0,-0.008418,0.0786720000004,-0.0233399999987,0.010367,0.0136520000001,-0.00571699999978
1251,2.502362545,0.462630392034,-3.994301233,-8.55080046395,0.152309334032,-0.00551059376394,0.00991167748351,0,0,0,0,0,0,-0.008418,0.0786720000004,-0.0233399999987,0.010367,0.0136520000001,-0.00571699999978
1252,2.504352117,0.320921850256,-3.84651284896,-8.28279025872,0.143893899283,-0.0208242332237,0.0164294570334,0,0,0,0,0,0,-0.008418,0.0786720000004,-0.0233399999987,0.010367,0.0136520000001,-0.00571699999978
1253,2.506362588,-0.070127561035,-3.98801639594,-8.36269686505,0.15158205385,-0.0204815137993,0.0160807077234,0,0,0,0,0,0,0.051582,0.108671999998,0.0966610000017,0.003367,0.00565200000004,-0.00271699999991
1254,2.508349825,0.129403362955,-3.97447450226,-8.42598120238,0.153238362402,-0.00843953399928,0.00957053803288,0,0,0,0,0,0,0.051582,0.108671999998,0.0966610000017,0.003367,0.00565200000004,-0.00271699999991
1255,2.510347672,-0.529683785103,-4.00155837565,-8.28160537439,0.164711763446,-0.0320427542636,0.0159927089804,0,0,0,0,0,0,0.051582,0.108671999998,0.0966610000017,0.003367,0.00565200000004,-0.00271699999991
1256,2.512355578,-0.129779422956,-4.02030445214,-8.05558798371,0.161452107369,-0.0273201392524,0.0104934876237,0,0,0,0,0,0,0.051582,0.108671999998,0.0966610000017,0.003367,0.00565200000004,-0.00271699999991
1257,2.514361089,-0.277044354665,-3.71948606777,-8.62651005393,0.146073882526,-0.0310216906499,0.0166624468602,0,0,0,0,0,0,0.041582,0.118671999997,0.206659000002,0.000367,0.00265200000001,-0.000716999999958
1258,2.516360399,-0.081364536708,-3.71507472625,-8.44904817665,0.154236965473,-0.0286232184791,0.00524524949155,0,0,0,0,0,0,0.041582,0.118671999997,0.206659000002,0.000367,0.00265200000001,-0.000716999999958
1259,2.518358567,0.0437247481559,-4.05168403847,-8.64093591008,0.152727288267,-0.0149509530572,0.00692848166666,0,0,0,0,0,0,0.041582,0.118671999997,0.206659000002,0.000367,0.00265200000001,-0.000716999999958
1260,2.520374157,0.149225410021,-3.89181793964,-8.39276491351,0.156475753053,-0.0051548916494,0.0051776853318,0,0,0,0,0,0,0.041582,0.118671999997,0.206659000002,0.000367,0.00265200000001,-0.000716999999958
1261,2.522373697,0.0828818127353,-3.73924066248,-8.48120048403,0.147212392667,-0.0227947966135,0.00424895033542,0,0,0,0,0,0,0.041582,0.108672,0.0266610000017,0.003367,0.00765200000004,-0.00271699999988
1262,2.524359982,0.226502341002,-3.40239411792,-8.57400260838,0.131140866131,-0.00540018423819,0.0181451607872,0,0,0,0,0,0,0.041582,0.108672,0.0266610000017,0.003367,0.00765200000004,-0.00271699999988
1263,2.526356206,-0.014456081844,-3.4559503663,-8.57022191207,0.130426706801,-0.0135419152999,-4.42739258191e-05,0,0,0,0,0,0,0.041582,0.108672,0.0266610000017,0.003367,0.00765200000004,-0.00271699999988
1264,2.528347922,0.26220675535,-3.81995867851,-8.76272783344,0.139969021631,0.00468643519554,0.0175132666676,0,0,0,0,0,0,0.041582,0.108672,0.0266610000017,0.003367,0.00765200000004,-0.00271699999988
1265,2.530359805,0.211824675669,-3.65683480535,-8.56744612016,0.128846901188,0.00332031791484,0.000181270492344,0,0,0,0,0,0,0.091582,0.118672000001,-0.0333399999981,0.000367,0.00465200000001,-0.000716999999926
1266,2.532358945,0.0996927840128,-3.41108302936,-8.59047653853,0.126809153619,-0.0029226434864,0.00658798465888,0,0,0,0,0,0,0.091582,0.118672000001,-0.0333399999981,0.000367,0.00465200000001,-0.000716999999926
1267,2.534361250,-0.00656060515514,-3.49934339074,-8.70280944924,0.122791952969,-0.00286008189553,0.00696127974217,0,0,0,0,0,0,0.091582,0.118672000001,-0.0333399999981,0.000367,0.00465200000001,-0.000716999999926
1268,2.536349960,0.0738380197233,-3.29520056583,-8.7276991871,0.117990663847,-1.98182657354e-05,0.00644557911156,0,0,0,0,0,0,0.091582,0.118672000001,-0.0333399999981,0.000367,0.00465200000001,-0.000716999999926
1269,2.538352065,0.475377628341,-3.81159309152,-9.11171334476,0.130886642406,0.00918924986756,0.00439963308703,0,0,0,0,0,0,0.101582,0.148671999997,0.156660000002,-0.002633,0.001652,0.000283000000026
1270,2.540350884,0.219238006973,-3.481567051,-8.89285596154,0.126392650734,-0.00490347280211,-0.00140442021022,0,0,0,0,0,0,0.101582,0.148671999997,0.156660000002,-0.002633,0.001652,0.000283000000026
1271,2.542352859,0.190422150046,-3.32793993395,-9.17357851863,0.115336058546,0.0135227156585,-0.000289666518726,0,0,0,0,0,0,0.101582,0.148671999997,0.156660000002,-0.002633,0.001652,0.000283000000026
1272,2.544351928,-0.494098882542,-3.26048332895,-8.75909723757,0.119276193605,-0.0157704761969,0.00255356187077,0,0,0,0,0,0,0.101582,0.148671999997,0.156660000002,-0.002633,0.001652,0.000283000000026
1273,2.546364453,-0.0442525438865,-3.54870077639,-8.67916171016,0.121737076863,-0.000898968552917,0.00475148092336,0,0,0,0,0,0,0.031582,0.0886719999993,0.0466590000014,0.007367,0.00765200000006,-0.00371699999988
1274,2.548358903,0.239322850407,-3.64789574947,-8.85633118283,0.127725453342,-0.00639967053925,0.00554470971857,0,0,0,0,0,0,0.031582,0.0886719999993,0.0466590000014,0.007367,0.00765200000006,-0.00371699999988
1275,2.550352672,-0.261378874661,-3.8501680206,-8.85396617825,0.137770655666,-0.0196490281433,0.00757599907794,0,0,0,0,0,0,0.031582,0.0886719999993,0.0466590000014,0.007367,0.00765200000006,-0.00371699999988
1276,2.552356521,0.184313311219,-3.67056343722,-8.72807652686,0.1412583962,-0.00117819769366,0.00994956686838,0,0,0,0,0,0,0.031582,0.0886719999993,0.0466590000014,0.007367,0.00765200000006,-0.00371699999988
1277,2.554357293,-0.207430371527,-3.69134204947,-8.74859588271,0.138695968236,-0.0213937342111,0.00533157491046,0,0,0,0,0,0,0.051582,0.118672000004,-0.253339999998,0.005367,0.00965200000008,-0.00471699999985
1278,2.556353657,-0.106504694606,-3.78526436256,-8.83388958121,0.141271796931,-0.0116619977355,0.0105557779448,0,0,0,0,0,0,0.051582,0.118672000004,-0.253339999998,0.005367,0.00965200000008,-0.00471699999985
1279,2.558346315,0.289533531641,-4.35484750263,-8.84081491177,0.163257757401,-0.00891535920687,0.0141246950198,0,0,0,0,0,0,0.051582,0.118672000004,-0.253339999998,0.005367,0.00965200000008,-0.00471699999985
1280,2.560343400,0.236921742893,-4.0905894756,-8.79120818766,0.158075108593,-0.00981916652318,0.0113368240606,0,0,0,0,0,0,0.051582,0.118672000004,-0.253339999998,0.005367,0.00965200000008,-0.00471699999985
1281,2.562354643,0.318907709475,-3.9324930405,-8.9771321479,0.152879636999,-0.0115810034288,0.00414767436504,0,0,0,0,0,0,0.001582,0.098672000001,-0.0633389999984,0.008367,0.0126520000001,-0.0057169999998
1282,2.564347080,0.321975934612,-3.83423381411,-9.21486014825,0.135464465347,0.00172825289641,0.00823685998022,0,0,0,0,0,0,0.001582,0.098672000001,-0.0633389999984,0.008367,0.0126520000001,-0.0057169999998
1283,2.566349956,-0.236192216949,-3.75993552383,-8.60800283352,0.147051882699,-0.0261164923463,0.00790091899625,0,0,0,0,0,0,0.001582,0.098672000001,-0.0633389999984,0.008367,0.0126520000001,-0.0057169999998
1284,2.568345389,-0.202768870505,-3.66256878013,-8.62137291791,0.150359938083,-0.0297603567633,0.0124206024924,0,0,0,0,0,0,0.001582,0.098672000001,-0.0633389999984,0.008367,0.0126520000001,-0.0057169999998
1285,2.570403969,0.464622140911,-3.24378036017,-8.82633502132,0.110518696257,0.0134221765245,0.0153078129418,0,0,0,0,0,0,0.011582,0.0986719999999,0.00666000000158,0.009367,0.0116520000001,-0.00571699999981
1286,2.572353636,0.521088621125,-3.53604631233,-8.65231432664,0.142922044452,-0.0127459323896,0.00485070992393,0,0,0,0,0,0,0.011582,0.0986719999999,0.00666000000158,0.009367,0.0116520000001,-0.00571699999981
1287,2.574345181,-0.312677403471,-3.79902197624,-8.41457047563,0.151278360125,-0.0298567672535,0.0092126674243,0,0,0,0,0,0,0.011582,0.0986719999999,0.00666000000158,0.009367,0.0116520000001,-0.00571699999981
1288,2.576352406,-0.191872683656,-3.75364659657,-8.80959935932,0.149051243834,-0.0268837750769,0.0154740614934,0,0,0,0,0,0,0.011582,0.0986719999999,0.00666000000158,0.009367,0.0116520000001,-0.00571699999981
1289,2.578383735,-0.402943909694,-3.77043107327,-8.82444719117,0.147173744693,-0.0408386463141,0.0115601330501,0,0,0,0,0,0,0.031582,0.108672000001,-0.0833399999983,0.005367,0.00965200000006,-0.00371699999985
1290,2.580361184,0.333264699732,-3.58414060279,-8.63046194689,0.14593380965,-0.0069410199124,0.0205392483787,0,0,0,0,0,0,0.031582,0.108672000001,-0.0833399999983,0.005367,0.00965200000006,-0.00371699999985
1291,2.582359262,0.271619057486,-4.14387879537,-8.44126816219,0.165912178775,-0.0204692347763,0.0159354753595,0,0,0,0,0,0,0.031582,0.108672000001,-0.0833399999983,0.005367,0.00965200000006,-0.00371699999985
1292,2.584362829,0.0472315996977,-3.68466752083,-8.83286816796,0.137457741801,-0.00832579596719,0.0116360548438,0,0,0,0,0,0,0.031582,0.108672000001,-0.0833399999983,0.005367,0.00965200000006,-0.00371699999985
1293,2.586369192,-0.0489402541282,-3.75255908708,-8.56678631932,0.139414706976,-0.0190145926679,0.00978934631545,0,0,0,0,0,0,-0.028418,0.108671999999,0.0466590000017,0.009367,0.0136520000001,-0.00571699999978
1294,2.588355618,-0.368003503102,-3.85756664734,-8.86151423528,0.146508456242,-0.0223491979339,0.000698574940872,0,0,0,0,0,0,-0.028418,0.108671999999,0.0466590000017,0.009367,0.0136520000001,-0.00571699999978
1295,2.590364696,0.321429985192,-3.93637495824,-8.94216023096,0.145004027232,0.00012610610505,0.0107655114432,0,0,0,0,0,0,-0.028418,0.108671999999,0.0466590000017,0.009367,0.0136520000001,-0.00571699999978
1296,2.592350481,-0.0860449888449,-3.92661603984,-8.80097322922,0.147399188667,-0.01529074831,0.0071011404053,0,0,0,0,0,0,-0.028418,0.108671999999,0.0466590000017,0.009367,0.0136520000001,-0.00571699999978
1297,2.594361302,0.0200015922525,-3.80116465327,-8.49665691631,0.151910070979,-0.0157484621104,0.00579439099717,0,0,0,0,0,0,0.041582,0.128672000001,-0.0733389999979,0.003367,0.00765200000004,-0.00271699999988
1298,2.596358448,-0.13109800034,-3.87586974258,-8.41502130416,0.143396032385,-0.0162078346461,0.00560196678741,0,0,0,0,0,0,0.041582,0.128672000001,-0.0733389999979,0.003367,0.00765200000004,-0.00271699999988
1299,2.598410797,-0.107618156417,-3.76370420526,-8.97845572151,0.140995132065,-0.00355457662428,0.00119894279103,0,0,0,0,0,0,0.041582,0.128672000001,-0.0733389999979,0.003367,0.00765200000004,-0.00271699999988
1300,2.600366074,-0.158949729842,-3.91969234516,-8.42840046827,0.156162507931,-0.0274981181522,0.00696123119779,0,0,0,0,0,0,0.041582,0.128672000001,-0.0733389999979,0.003367,0.00765200000004,-0.00271699999988
1301,2.602391082,0.054394772828,-4.11944748319,-8.60070077028,0.159684897937,-0.0218532937895,0.00817585987143,0,0,0,0,0,0,0.041582,0.118672,0.0166610000019,0.002367,0.00665200000004,-0.00271699999989
1302,2.604369322,-0.137240039349,-3.96779432846,-8.69215144894,0.153822274279,-0.016704598195,0.0186530099524,0,0,0,0,0,0,0.041582,0.118672,0.0166610000019,0.002367,0.00665200000004,-0.00271699999989
